root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 dst 138.197.158.231

Flags [P.], seq 1017456:1017660, ack 505, win 501, length 204
21:18:19.750571 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1017660:1017864, ack 505, win 501, length 204
21:18:19.750626 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1017864:1018068, ack 505, win 501, length 204
21:18:19.750686 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1018068:1018272, ack 505, win 501, length 204
21:18:19.750739 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1018272:1018476, ack 505, win 501, length 204
21:18:19.750792 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1018476:1018680, ack 505, win 501, length 204
21:18:19.750891 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1018680:1018884, ack 505, win 501, length 204
21:18:19.750990 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1018884:1019088, ack 505, win 501, length 204
21:18:19.751075 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1019088:1019292, ack 505, win 501, length 204
21:18:19.751175 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1019292:1019496, ack 505, win 501, length 204
21:18:19.751291 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1019496:1019700, ack 505, win 501, length 204
21:18:19.751419 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1019700:1019904, ack 505, win 501, length 204
21:18:19.751503 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1019904:1020108, ack 505, win 501, length 204
21:18:19.751577 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1020108:1020312, ack 505, win 501, length 204
21:18:19.751632 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1020312:1020516, ack 505, win 501, length 204
21:18:19.751688 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1020516:1020720, ack 505, win 501, length 204
21:18:19.751742 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1020720:1020924, ack 505, win 501, length 204
21:18:19.751794 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1020924:1021128, ack 505, win 501, length 204
21:18:19.751864 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1021128:1021332, ack 505, win 501, length 204
21:18:19.751919 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1021332:1021536, ack 505, win 501, length 204
21:18:19.751972 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1021536:1021740, ack 505, win 501, length 204
21:18:19.752028 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1021740:1021944, ack 505, win 501, length 204
21:18:19.752140 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1021944:1022148, ack 505, win 501, length 204
21:18:19.752218 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1022148:1022352, ack 505, win 501, length 204
21:18:19.752275 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1022352:1022556, ack 505, win 501, length 204
21:18:19.752333 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1022556:1022760, ack 505, win 501, length 204
21:18:19.752388 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1022760:1022964, ack 505, win 501, length 204
21:18:19.752442 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1022964:1023168, ack 505, win 501, length 204
21:18:19.752522 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1023168:1023372, ack 505, win 501, length 204
21:18:19.752580 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1023372:1023576, ack 505, win 501, length 204
21:18:19.752634 IP 138.197.158.231.ssh > cpe9050ca239d63-cm9050ca239d60.cpe.net.cable.rogers.com.55891: Flags [P.], seq 1023576:1023780, ack 505, win 501, length 204
